State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Maharashtra, Nasik,2005,0.5,0,0,2.2,3.3,388.3,395.4,260.8,394.4,45.8,0,0,1490.7
Maharashtra, Nasik,2006,0,0,0.9,0.1,2.1,155.3,516.7,615.4,217.1,55.6,10.7,0,1573.9
Maharashtra, Nasik,2007,0,0,0,2.8,0.1,270.3,349.5,330.7,237.3,0,5,0,1195.7
Maharashtra, Nasik,2008,0,0,0,1,0,53.2,246.2,353.7,475.5,53.8,0.2,0.5,1184.1
Maharashtra, Nasik,2009,0,0,1.3,0.2,14.6,45.5,371.4,123.1,113.6,73.2,174.7,2.7,920.3
Maharashtra, Nasik,2010,0,0.5,0.8,0,5.9,191,239.7,307.1,154.9,69.6,105.8,0,1075.3
Maharashtra, Osmanabad,2004,1.1,0.6,0,10.7,54.9,150.5,179.2,44.7,153.2,81.3,0,0,676.2
Maharashtra, Osmanabad,2005,0,0,5.6,6.8,3.6,61.9,347.3,172.4,231.7,31.5,0,0,860.8
Maharashtra, Osmanabad,2006,0,0,1,0.3,23.8,117.8,61.7,164.4,212.3,40,15.6,0,636.9
Maharashtra, Osmanabad,2007,0,0,0,0.2,0.7,197,67.1,129,227,0,0,0,621.0
Maharashtra, Osmanabad,2008,0,0,46.9,22.8,0,51.2,88.5,187.8,355.6,5.8,10.3,2.3,771.2
Maharashtra, Osmanabad,2009,0,0,0.4,2.4,26.5,49.9,105.1,230.1,206,93.2,43.4,7.3,764.3
Maharashtra, Osmanabad,2010,20.8,3,0,1.1,5.7,151.7,351.5,284.6,163.4,59.9,27.1,1.3,1070.1
Maharashtra, Parbhani,2004,3.5,0,0,0.7,18.3,93.6,173.4,87.3,175.9,28.2,9.8,0,590.7
Maharashtra, Parbhani,2005,8.9,0.4,6,0.6,0.3,66.9,807.7,107.7,131.6,128.8,0,0,1258.9
Maharashtra, Parbhani,2006,0,0,11.4,0.1,8.8,104.7,101.6,497.1,148.7,65.5,0.8,0,938.7
Maharashtra, Parbhani,2007,0,0,0.2,1.2,0,157.8,222.7,192.4,223.2,0,20.3,0,817.8
Maharashtra, Parbhani,2008,3.5,0,7.1,12.1,0.5,110.4,152.6,128.9,239,19.7,35.3,0,709.1
Maharashtra, Parbhani,2009,0,0,0.3,1.4,23.4,78.2,166.2,213.9,129.3,62.2,45.4,4,724.3
Maharashtra, Parbhani,2010,10.2,1.7,23.6,1.5,0.1,93.3,435.7,367.9,169.2,39.9,28.6,0.2,1171.9
Maharashtra, Pune,2004,0,0,0,0,15.5,181.2,87.1,316,182.5,17.5,1.3,0,801.1
Maharashtra, Pune,2005,0.9,0,0.1,1.8,2.8,228.7,383.4,237.8,272.7,105.5,0,0,1233.7
Maharashtra, Pune,2006,0,0,1.3,0,8.2,191.8,332.8,390,197.7,57.1,4.2,0,1183.1
Maharashtra, Pune,2007,0,0,0,6,0.6,267.8,261.2,225,134.6,2.8,12.5,0,910.5
Maharashtra, Pune,2008,0,0,13.7,0.8,0.8,148.4,99.5,216.1,259.4,60.1,4.4,6.8,810.0
Maharashtra, Pune,2009,0,0,0.4,0,2.3,60.4,317.7,141.8,153.5,119.2,150.3,0.9,946.5
Maharashtra, Pune,2010,0.1,0,16.1,0.4,4.6,210,212,172.7,157,97.5,90.9,0,961.3
Maharashtra, Raigad,2004,0,0,0,0,4,521,1019.6,1335.3,320.5,26,2,0,3228.4
Maharashtra, Raigad,2005,0,0,0.2,0,0,662.3,1541.8,947,775.7,48.7,0,0,3975.7
Maharashtra, Raigad,2006,0,0,1.1,0,73.2,568.3,1427,1184.2,365.1,210.6,2.4,0,3831.9
Maharashtra, Raigad,2007,0,0,0,5.1,0.1,1086.6,1024.3,1062.8,558.6,8.6,11,0,3757.1
Maharashtra, Raigad,2008,0,0,0,0,0,815.4,912.9,965.5,542.2,86.2,0.4,0.6,3323.2
Maharashtra, Raigad,2009,0,0,0,0,0.1,205.4,1185.3,287.5,349.3,228.9,203.3,0,2459.8
Maharashtra, Raigad,2010,0,0,0,0.5,0,508.3,1372.6,946,520.2,131,95.9,0,3574.5
Maharashtra, Ratnagiri,2004,0,0,0,0,27.9,848.7,1001.7,908.2,273.3,41.5,1.8,0,3103.1
Maharashtra, Ratnagiri,2005,0.2,0,0,0,0,716.5,1352.6,873.8,597.9,93.6,0,0,3634.6
Maharashtra, Ratnagiri,2006,0,0,0.8,0,310.9,790.5,1122.4,836.7,469.7,163.8,3.9,0,3698.7
Maharashtra, Ratnagiri,2007,0,0,0,0.6,2.5,1254.1,880.1,1126.1,767.7,27.8,17.3,0,4076.2
Maharashtra, Ratnagiri,2008,0,0,5.2,0,40.5,871.7,660.3,826.4,520.9,55.2,0.1,10.9,2991.2
Maharashtra, Ratnagiri,2009,0,0,0.6,0,0.3,316.5,1350.7,402.6,512.5,291.2,101.4,0,2975.8
Maharashtra, Ratnagiri,2010,0,0,0,0.6,0,845.3,1688.5,714.6,626,232.6,94.1,0,4201.7
